iter	RMSE
0	461.7270494
1	452.9904386
2	443.9105492
3	435.1298182
4	426.5850261
5	418.0795163
6	410.12269
7	402.6188867
8	395.7010598
9	388.5968541
10	382.2884038
11	375.4370743
12	369.8199186
13	365.0796218
14	359.9276361
15	356.2175779
16	351.4725729
17	346.0876352
18	342.3423116
19	338.2138715
20	334.0587049
21	330.2574494
22	326.7105547
23	323.3101676
24	319.8413347
25	316.46731
26	313.1275635
27	309.8930334
28	306.8129018
29	303.4502277
30	300.5253192
31	298.1857671
32	294.9768273
33	292.735145
34	291.2603377
35	289.6927097
36	288.0717143
37	286.2695814
38	283.8966105
39	281.6712483
40	279.8300599
41	278.3141217
42	276.8087205
43	274.9812302
44	273.2304103
45	272.0198456
46	270.6742281
47	269.4596838
48	268.0571417
49	266.5418004
50	265.2589984
51	263.9567919
52	262.8810932
53	261.775547
54	260.6903865
55	259.5027077
56	258.6640369
57	257.8852691
58	256.8088951
59	255.5342483
60	254.7730453
61	253.9702667
62	253.2349061
63	252.0524381
64	251.0065129
65	250.1967563
66	249.5573963
67	248.4276848
68	247.8592865
69	247.1821181
70	246.313487
71	245.6259795
72	244.9693413
73	244.1635114
74	243.3568858
75	242.8098409
76	242.0256229
77	241.4337673
78	240.5440853
79	239.8307462
80	238.9947899
81	238.5835134
82	237.8947087
83	237.2556114
84	236.8057218
85	236.2056096
86	235.6679895
87	235.0535022
88	234.4606874
89	233.5345384
90	232.7307582
91	232.3501581
92	231.9359093
93	231.5423163
94	231.0221616
95	230.3867788
96	229.8853505
97	229.4408095
98	228.8224263
99	228.3254459
100	228.0311911
101	227.5332916
102	227.0990445
103	226.5128495
104	226.1625289
105	225.6459949
106	225.3859636
107	224.9779445
108	224.7286648
109	224.3221659
110	224.0298677
111	223.6079163
112	223.3513141
113	223.0704376
114	222.4407975
115	222.2713679
116	221.7920723
117	221.4545207
118	221.0517782
119	220.8215744
120	220.6223198
121	220.4222127
122	219.8421307
123	219.6127514
124	219.43993
125	218.7804819
126	218.5305895
127	218.0360792
128	217.848281
129	217.6628953
130	217.4729585
131	217.2197178
132	216.9689462
133	216.873617
134	216.7332347
135	216.5910137
136	216.2515919
137	215.8606907
138	215.5216369
139	215.3612077
140	215.1347894
141	214.6592301
142	214.3817131
143	214.24
144	214.0434935
145	213.9164959
146	213.534462
147	213.3859431
148	213.2144808
149	213.1535986
150	212.9578117
151	212.6714694
152	212.3629824
153	212.1498072
154	211.806975
155	211.659758
156	211.4327494
157	211.3690698
158	211.2097026
159	210.9352518
160	210.7436677
161	210.392491
162	210.3340985
163	210.3139759
164	210.0806106
165	209.977374
166	209.8420398
167	209.7757528
168	209.6874089
169	209.2440209
170	209.0127598
171	208.7951287
172	208.7911393
173	208.7132977
174	208.5134498
175	208.4048265
176	208.3553989
177	208.140577
178	208.1162621
179	208.0258598
