iter	Passed	Remaining
0	109	545889
1	209	522662
2	300	500994
3	388	484875
4	491	491195
5	576	479669
6	664	473665
7	765	477624
8	870	482501
9	955	476908
10	1033	468838
11	1129	469699
12	1235	473964
13	1337	476183
14	1440	478637
15	1542	480512
16	1664	487797
17	1769	489691
18	1868	489818
19	1961	488372
20	2061	488872
21	2165	490018
22	2267	490714
23	2362	489898
24	2451	487784
25	2601	497598
26	2717	500452
27	2841	504530
28	3008	515737
29	3141	520508
30	3253	521561
31	3380	524759
32	3505	527559
33	3640	531786
34	3764	534076
35	3901	538032
36	4033	540977
37	4157	542943
38	4281	544678
39	4397	545338
40	4497	544003
41	4617	545098
42	4721	544298
43	4820	543013
44	4918	541540
45	5023	541001
46	5140	541729
47	5256	542287
48	5530	558784
49	5653	559675
50	5768	559782
51	5889	560367
52	6042	564029
53	6170	565147
54	6319	568196
55	6459	570299
56	6606	572880
57	6747	574909
58	6857	574313
59	6966	573586
60	7071	572578
61	7179	571788
62	7288	571157
63	7405	571156
64	7543	572737
65	7666	573144
66	7801	574368
67	7957	577181
68	8114	579905
69	8255	581403
70	8383	581998
71	8523	583405
72	8644	583470
73	8760	583161
74	8877	582942
75	8988	582354
76	9132	583879
77	9253	583903
78	9365	583395
79	9484	583277
80	9621	584302
81	9778	586449
82	9943	589066
83	10086	590287
84	10237	591944
85	10394	593912
86	10548	595664
87	10709	597785
88	10831	597669
89	10947	597243
90	11056	596441
91	11196	597287
92	11319	597242
93	11432	596679
94	11545	596104
95	11668	596054
96	11780	595467
97	11909	595720
98	12023	595245
99	12126	594175
100	12227	593074
101	12343	592741
102	12468	592821
103	12602	593290
104	12702	592183
105	12811	591485
106	12908	590305
107	13012	589438
108	13112	588394
109	13293	590943
110	13414	590820
111	13511	589659
112	13613	588774
113	13730	588476
114	13849	588296
115	13951	587422
116	14075	587462
117	14199	587485
118	14293	586266
119	14398	585544
120	14501	584750
121	14600	583791
122	14702	582966
123	14793	581725
124	14900	581132
125	14999	580232
126	15102	579486
127	15204	578729
128	15304	577903
129	15416	577536
130	15521	576914
131	15629	576410
132	15729	575607
133	15827	574739
134	15931	574120
135	16021	572998
136	16121	572236
137	16237	572092
138	16382	572919
139	16498	572730
140	16622	572819
141	16767	573620
142	16891	573709
143	17015	573792
144	17155	574398
145	17265	574025
146	17389	574087
147	17515	574234
148	17652	574718
149	17768	574510
150	17925	575642
151	18108	577566
152	18284	579259
153	18432	580017
154	18616	581917
155	18784	583284
156	18932	584006
157	19054	583943
158	19166	583563
159	19284	583358
160	19406	583284
161	19545	583702
162	19681	584034
163	19745	582255
164	19865	582126
165	19982	581901
166	20103	581801
167	20201	581042
168	20305	580457
169	20414	580021
170	20527	579702
171	20638	579308
172	20714	577965
173	20839	578006
174	20952	577701
175	21060	577240
176	21164	576694
177	21284	576598
178	21393	576189
179	21485	575336
180	21586	574734
181	21695	574345
182	21781	573352
183	21886	572851
184	21975	571959
185	22078	571438
186	22182	570931
187	22296	570691
188	22395	570068
189	22489	569351
190	22596	568938
191	22695	568338
192	22801	567899
193	22897	567252
194	23029	567465
195	23139	567154
196	23237	566551
197	23335	565943
198	23435	565384
199	23536	564879
200	23639	564412
201	23747	564072
202	23851	563616
203	23948	563025
204	24047	562484
205	24120	561323
206	24231	561073
207	24343	560844
208	24399	559314
209	24510	559064
210	24607	558508
211	24710	558086
212	24826	557946
213	24942	557829
214	25067	557907
215	25201	558168
216	25337	558473
217	25442	558094
218	25550	557788
219	25608	556394
220	25712	556020
221	25834	556024
222	25960	556117
223	26075	555971
224	26191	555844
225	26304	555645
226	26420	555521
227	26518	555021
228	26632	554858
229	26731	554385
230	26834	553989
231	26935	553560
232	27045	553339
233	27140	552785
234	27230	552140
235	27344	551987
236	27472	552122
237	27587	551974
238	27711	552020
239	27808	551542
240	27917	551277
241	28015	550814
242	28110	550291
243	28218	550023
244	28322	549696
245	28452	549848
246	28599	550333
247	28718	550284
248	28829	550083
249	28953	550125
250	29050	549635
251	29139	549031
252	29237	548574
253	29356	548535
254	29455	548108
255	29569	547965
256	29690	547943
257	29799	547702
258	29909	547492
259	30008	547076
260	30105	546627
261	30213	546386
262	30319	546098
263	30424	545793
264	30530	545514
265	30647	545441
266	30772	545486
267	30890	545422
268	31003	545274
269	31119	545170
270	31249	545302
271	31357	545059
272	31470	544917
273	31574	544602
274	31672	544185
275	31786	544055
276	31916	544200
277	32033	544116
278	32131	543704
279	32223	543198
280	32358	543416
281	32482	543440
282	32591	543225
283	32698	542981
284	32835	543228
285	32954	543167
286	33072	543101
287	33199	543185
288	33299	542824
289	33417	542739
290	33548	542887
291	33666	542809
292	33789	542822
293	33905	542724
294	34039	542904
295	34151	542729
296	34274	542737
297	34411	542958
298	34537	543013
299	34638	542668
300	34741	542352
301	34854	542202
302	34967	542049
303	35087	542008
304	35198	541826
305	35316	541743
306	35434	541680
307	35540	541416
308	35656	541312
309	35784	541383
310	35901	541293
311	36006	541027
312	36133	541071
313	36232	540722
314	36360	540791
315	36483	540783
316	36591	540555
317	36701	540364
318	36812	540183
319	36928	540078
320	37052	540093
321	37159	539852
322	37271	539688
323	37385	539553
324	37480	539138
325	37584	538866
326	37681	538490
327	37776	538089
328	37874	537725
329	37986	537561
330	38090	537297
331	38220	537391
332	38331	537219
333	38429	536859
334	38546	536774
335	38713	537384
336	38848	537544
337	38966	537466
338	39068	537156
339	39178	536971
340	39283	536714
341	39389	536475
342	39480	536032
343	39590	535853
344	39694	535594
345	39793	535254
346	39902	535059
347	40021	534999
348	40130	534798
349	40241	534631
350	40364	534627
351	40464	534318
352	40578	534183
353	40700	534163
354	40841	534396
355	40983	534627
356	41114	534713
357	41226	534557
358	41354	534611
359	41490	534764
360	41592	534474
361	41670	533888
362	41744	533247
363	41818	532610
364	41885	531893
365	41956	531220
366	42032	530619
367	42097	529883
368	42163	529153
369	42231	528467
370	42298	527764
371	42372	527145
372	42448	526566
373	42532	526079
374	42607	525497
375	42688	524976
376	42768	524457
377	42848	523932
378	42916	523269
379	42984	522599
380	43070	522161
381	43169	521873
382	43254	521431
383	43336	520937
384	43418	520453
385	43490	519859
386	43565	519290
387	43649	518844
388	43738	518447
389	43823	518010
390	43924	517772
391	44001	517236
392	44088	516836
393	44168	516343
394	44251	515890
395	44333	515430
396	44416	514983
397	44491	514448
398	44566	513905
399	44636	513317
400	44722	512918
401	44795	512365
402	44886	512018
